Gene,n_en_student_p_value,en_c_student_p_value,n_en_permutation_p_value,en_c_permutation_p_value
NMNAT1,0.6385815033293778,0.6414814438727523,0.6372,0.6368
RBP7,0.004556570323480429,0.2697711182022775,0.0047,0.2641
UBE4B,0.773741935827518,0.5335005443129444,0.7679,0.5332
KIF1B,0.08574632344237089,0.5457133181766987,0.0868,0.5444
PGD,0.9668010261647079,0.07072119459099949,0.9691,0.0689
APITD1,0.756557481606785,0.12074863321744682,0.7574,0.1123
CORT,0.10393523215868794,0.29409490714868525,0.1016,0.2921
DFFA,0.12347280323786905,0.10184231002824487,0.1225,0.0999
PEX14,0.9778568421387046,0.4334232649865575,0.976,0.4336
CASZ1,0.06407345998237117,0.6626638248067181,0.0624,0.6638
C1orf127,0.9098689269467848,0.014551175592331034,0.9119,0.007
TARDBP,0.582100147751728,0.11480018196057698,0.5773,0.1133
MASP2,0.00038611290321830476,9.522413396933681e-05,0.0007,0.0003
SRM,0.22479168897051013,0.19017339936521438,0.2314,0.1994
EXOSC10,0.399205876333102,0.092868098712292,0.407,0.0925
MTOR,0.549703863074563,0.6785274159833248,0.5442,0.6849
ANGPTL7,0.35689304660998,0.5054445590397679,0.3726,0.5131
UBIAD1,0.026880486179043574,0.15653213958999335,0.0276,0.1573
PTCHD2,0.2436658209201277,0.3343642499373636,0.2375,0.3601
FBXO2,0.891375185012946,0.004303691476949396,0.8901,0.0053
FBXO44,0.9210654588453132,0.15348717727065975,0.925,0.1583
FBXO6,0.026435771199226358,0.00020833457416857408,0.0256,0.0001
MAD2L2,0.3876256348246798,0.32241575698376534,0.3864,0.3263
AGTRAP,0.004666190921966413,0.8035756089293403,0.0048,0.8043
MTHFR,0.5289680472883239,0.7976717152767918,0.5332,0.8022
CLCN6,0.13797632667264073,0.8071531079425708,0.1387,0.8086
NPPA,0.3438094090666881,0.757275449039564,0.4608,0.7512
KIAA2013,0.3834663592698754,0.02994490468691273,0.3832,0.0294
PLOD1,0.8039986909604643,0.34636539977719716,0.8097,0.354
MFN2,0.49294234609336174,0.4488306295481225,0.6846,0.4524
MIIP,0.21719665602082178,0.6176295175245954,0.2231,0.6119
TNFRSF8,0.08313179153017583,0.26460152454253444,0.0778,0.2651
TNFRSF1B,0.002644179367081855,0.008659051183242282,0.0029,0.0078
VPS13D,0.9838375028107622,0.10763596644658215,0.9847,0.1114
DHRS3,0.22811199166233112,0.28808525744997265,0.2422,0.2902
LRRC38,0.8175362575173019,0.000247030244284663,0.8245,0.0001
PDPN,0.09822345566797541,0.5753838476736555,0.1004,0.5729
PRDM2,0.37059324430661933,0.4109318397405941,0.3878,0.399
KAZN,0.7762238248526818,0.028793092046989276,0.7775,0.0329
C1orf126,0.94566086345997,0.33584201253040624,0.9449,0.347
TMEM51,0.48267599149714246,0.1734921931512831,0.4773,0.1703
FHAD1,0.8249400165247998,0.41268559462248977,0.8329,0.4237
EFHD2,0.3099096424499075,0.00038348399253155765,0.3094,0.0003
CTRC,0.13510895733019088,0.24281640967502333,0.1334,0.2484
CASP9,0.27078966707223007,0.0016375833719502319,0.2787,0.002
DNAJC16,0.35678161475924064,0.7904497432744909,0.355,0.7972
AGMAT,0.45742714738146206,0.014846627996510974,0.4593,0.0136
PLEKHM2,0.6248455365342658,0.577108737825521,0.6341,0.5888
SLC25A34,0.331058426230051,0.06664553543213186,0.3324,0.0699
FBLIM1,0.22477936434655077,0.49305905163116603,0.2304,0.4793
UQCRHL,0.20410370308763975,0.8779868342262587,0.19,0.8793
FLJ37453,0.9792920837048456,0.524612435867954,0.9805,0.5234
SPEN,0.021297053088371303,0.708622170751666,0.0173,0.7058
ZBTB17,0.22092347345093413,0.9097323191934278,0.2228,0.9139
C1orf64,0.7008190086080601,0.2747491844597136,0.7618,0.2623
HSPB7,0.47490177919982357,0.1692044138865392,0.4767,0.1729
CLCNKA,0.46929140529750013,0.24460646570358321,0.4686,0.2465
EPHA2,0.005227959365499549,0.04956483667019674,0.0061,0.05
ARHGEF19,0.73682762042852,0.06216779448446236,0.7352,0.0591
RSG1,0.45415393166110285,0.20399481903132005,0.4574,0.2008
FBXO42,0.3576149809283137,0.1566703554128486,0.3564,0.1442
C1orf144,0.4530008060694497,0.9746263680735211,0.4479,0.9744
NECAP2,0.5927341811894217,0.19440747321270396,0.5886,0.2033
CROCCP3,0.33755600436259026,0.0453827179733845,0.3375,0.0458
CROCCP2,0.5800084367593896,0.2180702760765189,0.5807,0.2157
MST1P2,0.7816573290198825,0.021459048009950722,0.7745,0.0185
CROCC,0.8474018747049916,0.6844374415716922,0.8506,0.6808
MFAP2,0.8849233449611639,0.0008885471698599655,0.8856,0.0002
ATP13A2,0.10169468921001369,0.14523534918353093,0.1044,0.1452
SDHB,0.7519329820000011,0.7833929156965723,0.7521,0.7867
PADI2,0.001106039198101815,0.21158090196611942,0.0012,0.1997
PADI3,0.06435742754241447,0.3444645502268445,0.027,0.381
